ItemUPC,Number,Name,Dim1,Dim2,Color Name,Short Description,Style Number,Brand Name
196978315045,A6773000105830,A6773-0001,58,30,OTTER,B&T T2 ORIG JEAN CUT OTTER,83553000009898,DOCKERS
196978315052,A6773000105832,A6773-0001,58,32,OTTER,B&T T2 ORIG JEAN CUT OTTER,83553000009898,DOCKERS
196978315069,A6773000106030,A6773-0001,60,30,OTTER,B&T T2 ORIG JEAN CUT OTTER,83553000009898,DOCKERS
196978315076,A6773000106032,A6773-0001,60,32,OTTER,B&T T2 ORIG JEAN CUT OTTER,83553000009898,DOCKERS
196978314208,A6773000203238,A6773-0002,32,38,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314215,A6773000203438,A6773-0002,34,38,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314222,A6773000203638,A6773-0002,36,38,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314239,A6773000203836,A6773-0002,38,36,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314246,A6773000203838,A6773-0002,38,38,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314253,A6773000204036,A6773-0002,40,36,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314260,A6773000204038,A6773-0002,40,38,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314277,A6773000204234,A6773-0002,42,34,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314284,A6773000204236,A6773-0002,42,36,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314291,A6773000204238,A6773-0002,42,38,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314307,A6773000204429,A6773-0002,44,29,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314314,A6773000204430,A6773-0002,44,30,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314321,A6773000204432,A6773-0002,44,32,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314338,A6773000204434,A6773-0002,44,34,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314345,A6773000204436,A6773-0002,44,36,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314352,A6773000204438,A6773-0002,44,38,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314369,A6773000204629,A6773-0002,46,29,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314376,A6773000204630,A6773-0002,46,30,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314383,A6773000204632,A6773-0002,46,32,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314390,A6773000204634,A6773-0002,46,34,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314406,A6773000204636,A6773-0002,46,36,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314413,A6773000204638,A6773-0002,46,38,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314420,A6773000204829,A6773-0002,48,29,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
196978314437,A6773000204830,A6773-0002,48,30,MORSE BETTS,B&T T2 ORIG JEAN CUT MORSE BETTS,83553000009898,DOCKERS
